Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary
Dicloxacillin Sodium ,Dicloxacillin Sodium ,2,"$1,362,933.35","2,422,750","51,890","36,635",$0.56,$26.27,$37.20
Dicyclomine HCl ,Dicyclomine HCl ,6,"$18,590,943.53","179,356,660","1,912,314","673,988",$0.10,$9.72,$27.58
Didanosine ,Didanosine ,3,"$1,144,559.00","190,122","5,622",787,$6.05,$203.59,"$1,454.33"
Differin ,Adapalene ,1,"$276,863.78","63,711","1,250",723,$4.30,$221.49,$382.94
Dificid ,Fidaxomicin ,1,"$24,504,254.31","138,454","7,211","5,399",$176.98,"$3,398.18","$4,538.67"
Diflorasone Diacetate ,Diflorasone Diacetate ,1,"$5,845,062.42","720,167","11,141","5,830",$8.08,$524.64,"$1,002.58"
Diflucan ,Fluconazole ,1,"$548,432.21","14,622","1,459",758,$38.33,$375.90,$723.53
Diflunisal ,Diflunisal ,2,"$3,465,744.12","2,969,320","42,217","15,892",$1.17,$82.09,$218.08
Digitek ,Digoxin ,2,"$8,986,775.21","11,153,536","230,698","79,502",$0.81,$38.95,$113.04
Digox ,Digoxin ,1,"$45,852,331.55","54,203,901","1,150,903","283,648",$0.85,$39.84,$161.65
Digoxin ,Digoxin ,7,"$103,962,147.83","123,739,608","2,727,198","552,211",$0.84,$38.12,$188.27
Dihydrocodein-Acetaminoph-Caff ,Acetaminophen/Caff/Dihydrocod ,1,"$326,990.99","136,010","1,496",756,$2.40,$218.58,$432.53
Dihydroergotamine Mesylate ,Dihydroergotamine Mesylate ,2,"$9,843,653.98","45,617","4,407","1,589",$228.81,"$2,233.64","$6,194.87"
Dilantin ,Phenytoin ,1,"$1,906,957.38","2,246,929","24,174","3,505",$0.85,$78.88,$544.07
Dilantin ,Phenytoin Sodium Extended ,1,"$28,125,430.58","31,527,601","262,314","34,777",$0.88,$107.22,$808.74
Dilantin-125 ,Phenytoin ,1,"$435,736.99","929,351","2,507",320,$0.47,$173.81,"$1,361.68"
Dilatrate-Sr ,Isosorbide Dinitrate ,1,"$121,320.35","36,102",429,105,$3.36,$282.80,"$1,155.43"
Dilaudid ,Hydromorphone HCl ,1,"$3,034,876.82","1,020,172","5,742",772,$3.24,$528.54,"$3,931.19"
Dilt-XR ,Diltiazem HCl ,1,"$23,386,217.60","36,033,099","546,324","147,108",$0.65,$42.81,$158.97
Diltiazem 12hr ER ,Diltiazem HCl ,2,"$25,590,479.42","12,655,317","157,617","43,667",$2.05,$162.36,$586.04
Diltiazem 24hr CD ,Diltiazem HCl ,5,"$41,668,934.35","59,968,002","1,311,416","297,651",$0.69,$31.77,$139.99
Diltiazem 24hr ER ,Diltiazem HCl ,6,"$147,402,357.89","140,772,092","2,616,671","618,603",$1.07,$56.33,$238.28
Diltiazem ER ,Diltiazem HCl ,2,"$13,314,691.32","19,202,899","365,484","92,992",$0.69,$36.43,$143.18
Diltiazem HCl ,Diltiazem HCl ,4,"$23,629,297.84","96,878,310","986,281","227,862",$0.25,$23.96,$103.70
Diovan ,Valsartan ,1,"$43,999,833.97","6,958,736","130,052","33,303",$6.38,$338.32,"$1,321.20"
Diovan HCT ,Valsartan/Hydrochlorothiazide ,1,"$14,985,873.63","1,931,042","35,485","7,536",$7.79,$422.32,"$1,988.57"
Dipentum ,Olsalazine Sodium ,1,"$5,589,283.49","446,677","2,833",474,$12.51,"$1,972.92","$11,791.74"
Diphenhydramine HCl ,Diphenhydramine HCl ,6,"$776,447.97","1,611,843","42,256","16,183",$0.66,$18.37,$47.98
Diphenoxylate-Atropine ,Diphenoxylate HCl/Atropine ,3,"$28,048,645.58","69,196,528","896,636","383,524",$0.41,$31.28,$73.13
Diphtheria-Tetanus Toxoids-Ped ,"Tetanus,Diphtheria Toxd Ped/PF ",1,"$6,152.11",64,101,101,$96.13,$60.91,$60.91
Diprolene ,Betamethasone/Propylene Glyc ,1,"$23,141.19","6,873",110,60,$3.37,$210.37,$385.69
Diprolene Af ,Betamethasone/Propylene Glyc ,1,"$29,917.29","8,057",130,65,$3.71,$230.13,$460.27
Dipyridamole ,Dipyridamole ,5,"$1,477,148.24","5,573,989","46,973","11,313",$0.26,$31.45,$130.57
Disopyramide Phosphate ,Disopyramide Phosphate ,2,"$2,866,714.62","2,627,175","19,720","3,792",$1.09,$145.37,$755.99
Disulfiram ,Disulfiram ,5,"$2,299,747.00","1,025,429","28,730","8,312",$2.27,$80.05,$276.68
Ditropan XL ,Oxybutynin Chloride ,1,"$964,866.97","154,938","2,422",553,$6.23,$398.38,"$1,744.79"
Diuril ,Chlorothiazide ,1,"$3,052.62","12,528",64,26,$0.24,$47.70,$117.41
Divalproex Sodium ,Divalproex Sodium ,14,"$136,343,642.27","287,556,886","3,165,453","425,554",$0.43,$43.07,$320.39
Divalproex Sodium ER ,Divalproex Sodium ,11,"$235,816,171.85","139,414,347","1,895,618","264,665",$1.69,$124.40,$891.00
Divigel ,Estradiol ,1,"$1,166,276.57","331,963","7,404","2,113",$3.51,$157.52,$551.95
Dobutamine HCl ,Dobutamine HCl ,1,"$21,881.11","101,764",311,31,$0.22,$70.36,$705.84
Dobutamine HCl In Dextrose ,Dobutamine HCl In Dextrose 5 % ,2,"$84,742.71","967,838",468,39,$0.08,$181.07,"$2,172.89"
Docetaxel ,Docetaxel ,3,"$1,990,228.33","9,070","1,182",321,$234.70,"$1,683.78","$6,200.09"
Dolophine HCl ,Methadone HCl ,1,"$10,908.88","17,652",83,16,$0.62,$131.43,$681.81
Donepezil HCl ,Donepezil HCl ,21,"$150,437,758.88","341,533,141","8,572,100","1,396,240",$0.45,$17.55,$107.74
Donepezil HCl ODT ,Donepezil HCl ,4,"$2,130,472.75","2,798,760","70,531","16,192",$0.77,$30.21,$131.58
Doribax ,Doripenem ,1,"$388,882.08","252,554",624,142,$1.66,$623.21,"$2,738.61"
Dorzolamide HCl ,Dorzolamide HCl ,7,"$18,798,148.32","9,878,740","807,902","205,925",$1.91,$23.27,$91.29
Dorzolamide-Timolol ,Dorzolamide HCl/Timolol Maleat ,6,"$45,201,153.89","23,865,516","1,931,543","474,379",$1.89,$23.40,$95.28
Dovonex ,Calcipotriene ,1,"$779,978.95","81,770",595,186,$9.54,"$1,310.89","$4,193.44"
Doxazosin Mesylate ,Doxazosin Mesylate ,10,"$88,175,668.42","174,937,362","2,870,928","571,253",$0.51,$30.71,$154.35
Doxepin HCl ,Doxepin HCl ,6,"$34,258,071.46","55,287,822","970,073","190,111",$0.64,$35.31,$180.20
Doxercalciferol ,Doxercalciferol ,2,"$8,519,102.40","579,606","12,162","2,419",$14.59,$700.47,"$3,521.75"
Doxil ,Doxorubicin HCl PEG-Liposomal ,1,"$258,419.89","2,400",70,19,$107.67,"$3,691.71","$13,601.05"
Doxorubicin HCl ,Doxorubicin HCl ,2,"$35,922.62","28,750",453,144,$1.26,$79.30,$249.46
Doxorubicin HCl Liposome ,Doxorubicin HCl PEG-Liposomal ,1,"$457,890.22","5,440",158,53,$84.17,"$2,898.04","$8,639.44"
Doxy 100 ,Doxycycline Hyclate ,3,"$437,349.82","453,724","1,879",473,$1.23,$232.76,$924.63
Doxycycline Hyclate ,Doxycycline Hyclate ,19,"$133,753,742.71","92,687,595","3,168,896","2,094,260",$1.56,$42.21,$63.87
Doxycycline Ir-Dr ,Doxycycline Monohydrate ,1,"$7,644,917.64","482,565","11,707","3,734",$15.84,$653.02,"$2,047.38"
Doxycycline Monohydrate ,Doxycycline Monohydrate ,10,"$18,105,837.76","24,369,768","829,623","608,462",$0.77,$21.82,$29.76
Dronabinol ,Dronabinol ,5,"$45,800,254.83","8,160,805","142,674","43,124",$5.42,$321.01,"$1,062.06"
Drospirenone-Ethinyl Estradiol ,Ethinyl Estradiol/Drospirenone ,2,"$210,512.60","134,036","3,411",795,$1.58,$61.72,$264.80
Droxia ,Hydroxyurea ,1,"$144,572.74","181,544","3,187",693,$0.80,$45.36,$208.62
Duavee ,"Estrogens,Conj/Bazedoxifene ",1,"$1,279,058.63","264,471","6,474","1,531",$4.84,$197.57,$835.44
Duetact ,Pioglitazone HCl/Glimepiride ,1,"$86,652.62","4,785",131,31,$18.11,$661.47,"$2,795.25"
Duexis ,Ibuprofen/FAmotidine ,1,"$23,775,066.64","1,173,726","13,562","5,907",$20.26,"$1,753.06","$4,024.90"
Dulera ,Mometasone/Formoterol ,1,"$204,742,095.26","11,203,194","633,403","193,860",$18.27,$323.24,"$1,056.13"
Duloxetine HCl ,Duloxetine HCl ,16,"$496,958,352.94","430,160,460","8,621,918","1,441,801",$1.16,$57.64,$344.68
Duragesic ,Fentanyl ,1,"$28,533,543.46","284,622","20,155","2,235",$96.10,"$1,415.71","$12,766.69"
Durezol ,Difluprednate ,1,"$105,831,669.78","3,437,627","662,381","425,192",$30.79,$159.77,$248.90
Dutasteride ,Dutasteride ,8,"$92,151,536.28","45,620,680","870,311","192,029",$1.99,$105.88,$479.88
Dutasteride-Tamsulosin ,Dutasteride/Tamsulosin HCl ,1,"$16,434,393.21","4,047,651","79,622","22,517",$4.06,$206.41,$729.87
Dutoprol ,Metoprolol Su/Hydrochlorothiaz ,1,"$266,272.30","52,291",969,376,$5.09,$274.79,$708.17
Dyazide ,Triamterene/Hydrochlorothiazid ,1,"$1,033,230.60","538,251","9,146","2,098",$1.92,$112.97,$492.48
Dymista ,Azelastine/Fluticasone ,1,"$27,093,366.08","3,588,647","127,122","53,662",$7.55,$213.13,$504.89
Dyrenium ,Triamterene ,1,"$3,115,477.76","331,995","5,905","1,751",$9.39,$527.60,"$1,779.26"
Dysport ,Abobotulinumtoxina ,1,"$316,596.00",402,243,119,$787.55,"$1,302.86","$2,660.47"
E.E.S. 200 ,Erythromycin Ethylsuccinate ,1,"$4,344,425.65","1,184,401","5,515",968,$3.67,$787.75,"$4,488.04"
E.E.S. 400 ,Erythromycin Ethylsuccinate ,1,"$568,040.19","60,970","1,533",937,$9.32,$370.54,$606.23
Easy Comfort Insulin Syringe ,"Syringe And Needle,Insulin,1ml ",1,"$391,147.96","824,988","7,910","2,224",$0.47,$49.45,$175.88
Easy Comfort Insulin Syringe ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$599,797.98","1,265,135","12,713","3,364",$0.47,$47.18,$178.30
Easy Comfort Pen Needles ,"Pen Needle, Diabetic ",1,"$4,868,639.43","9,381,420","85,437","22,246",$0.52,$56.99,$218.85
Easy Touch ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$307,283.25","1,466,235","14,573","5,310",$0.21,$21.09,$57.87
Easy Touch ,"Syringe And Needle,Insulin,1ml ",1,"$440,322.43","2,144,138","20,519","6,793",$0.21,$21.46,$64.82
Easy Touch ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$1,132,066.83","5,442,173","52,336","16,671",$0.21,$21.63,$67.91
Easy Touch Alcohol Prep Pads ,Alcohol Antiseptic Pads ,1,"$234,456.79","5,873,559","52,714","14,895",$0.04,$4.45,$15.74
Easy Touch Insulin Safety ,"Syringe,Needle,Insuln,Safe,1ml ",1,"$21,417.80","70,480",721,200,$0.30,$29.71,$107.09
Easy Touch Insulin Safety ,"Syringe,Needle,Insuln,Sf 0.5ml ",1,"$33,034.13","106,463","1,081",318,$0.31,$30.56,$103.88
Easy Touch Insulin Syringe ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$29,074.29","131,079","1,404",522,$0.22,$20.71,$55.70
Easy Touch Insulin Syringe ,"Syringe And Needle,Insulin,1ml ",1,"$92,691.24","435,108","4,142","1,492",$0.21,$22.38,$62.13
Easy Touch Insulin Syringe ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$74,606.49","356,879","3,423","1,212",$0.21,$21.80,$61.56
Easy Touch Pen Needle ,"Pen Needle, Diabetic ",1,"$4,285,642.89","18,275,877","161,925","51,151",$0.23,$26.47,$83.78
Easy-Touch Insulin Syringe ,"Syringe And Needle,Insulin,1ml ",2,"$690,615.02","3,283,108","30,038","9,593",$0.21,$22.99,$71.99
Ec-Naprosyn ,Naproxen ,1,"$15,706.41","6,175",82,44,$2.54,$191.54,$356.96
Econazole Nitrate ,Econazole Nitrate ,4,"$72,322,630.91","26,830,513","400,109","213,637",$2.69,$180.76,$338.53
Edarbi ,Azilsartan Medoxomil ,1,"$14,644,836.75","2,667,700","58,801","12,741",$5.49,$249.06,"$1,149.43"
Edarbyclor ,Azilsartan Med/Chlorthalidone ,1,"$13,402,609.45","2,501,368","56,820","11,805",$5.36,$235.88,"$1,135.33"
Edecrin ,Ethacrynic Acid ,1,"$26,558,110.57","1,199,231","16,603","4,013",$22.15,"$1,599.60","$6,618.02"
Edluar ,Zolpidem Tartrate ,1,"$1,179,689.73","97,165","2,590",482,$12.15,$455.48,"$2,447.49"
Edurant ,Rilpivirine HCl ,1,"$26,314,923.30","873,539","28,167","3,532",$30.12,$934.25,"$7,450.43"
Effer-K ,Potassium Bicarbonate/Cit Ac ,1,"$85,288.37","301,750","4,843","1,687",$0.28,$17.61,$50.56
Effexor XR ,Venlafaxine HCl ,1,"$28,723,272.36","2,751,254","45,013","6,779",$10.46,$638.11,"$4,237.10"
Effient ,Prasugrel HCl ,1,"$237,537,112.14","19,127,722","452,149","90,576",$12.42,$525.35,"$2,622.52"
Efudex ,Fluorouracil ,1,"$78,590.08","10,070",242,211,$7.80,$324.75,$372.46
Egrifta ,Tesamorelin Acetate ,1,"$15,208,368.34","229,530","3,723",612,$66.26,"$4,084.98","$24,850.28"
Elaprase ,Idursulfase ,1,"$5,922,242.35","5,793",131,  ,"$1,022.31","$45,207.96",  
Elelyso ,Taliglucerase Alfa ,1,"$4,419,930.31","5,678",129,11,$778.43,"$34,263.03","$401,811.85"
Elestat ,Epinastine HCl ,1,"$91,743.06","2,330",337,123,$39.37,$272.23,$745.88
Elestrin ,Estradiol ,1,"$540,942.51","148,147","2,563",877,$3.65,$211.06,$616.81
Elidel ,Pimecrolimus ,1,"$20,922,063.97","2,726,000","47,471","27,109",$7.68,$440.73,$771.78
Eligard ,Leuprolide Acetate ,1,"$818,019.60",703,703,300,"$1,163.61","$1,163.61","$2,726.73"
Elinest ,Norgestrel-Ethinyl Estradiol ,1,"$74,893.37","125,105","3,456",641,$0.60,$21.67,$116.84
Eliphos ,Calcium Acetate ,1,"$574,567.75","2,484,411","6,178","2,778",$0.23,$93.00,$206.83
Eliquis ,Apixaban ,1,"$1,926,316,211.60","328,547,976","4,456,268","827,097",$5.86,$432.27,"$2,329.01"
Elite-Ob ,"Iron,Carbonyl/Folic Acid/Mv-Mn ",1,"$8,746.79","8,305",182,59,$1.05,$48.06,$148.25
Elixophyllin ,Theophylline Anhydrous ,1,"$769,134.95","1,584,858","2,034",412,$0.49,$378.14,"$1,866.83"
Ella ,Ulipristal Acetate ,1,"$10,889.55",295,286,202,$36.91,$38.08,$53.91
Elmiron ,Pentosan Polysulfate Sodium ,1,"$88,767,650.34","12,125,342","107,471","22,797",$7.32,$825.97,"$3,893.83"
Elocon ,Mometasone Furoate ,1,"$57,812.64","26,400",514,324,$2.19,$112.48,$178.43
Emadine ,Emedastine Difumarate ,1,"$11,343.11",490,78,45,$23.15,$145.42,$252.07
Embeda ,Morphine Sulfate/Naltrexone ,1,"$13,425,807.36","1,337,918","29,477","8,854",$9.86,$455.47,"$1,516.36"
Emcyt ,Estramustine Phosphate Sodium ,1,"$360,330.70","30,188",402,124,$11.94,$896.35,"$2,905.89"
Emend ,Aprepitant ,1,"$7,365,326.19","39,417","9,663","3,902",$192.57,$762.22,"$1,887.58"
Emend ,Fosaprepitant Dimeglumine ,1,"$440,945.93","2,752","1,117",318,$160.23,$394.76,"$1,386.62"
Emoquette ,Desogestrel-Ethinyl Estradiol ,1,"$49,129.21","87,450","2,339",458,$0.56,$21.00,$107.27
Emsam ,Selegiline ,1,"$11,081,107.89","219,105","6,610","1,186",$50.58,"$1,676.42","$9,343.26"
Emtriva ,Emtricitabine ,1,"$11,729,773.44","895,232","25,457","3,370",$17.58,$460.77,"$3,480.64"
Enablex ,Darifenacin Hydrobromide ,1,"$18,180,511.64","1,767,254","43,842","14,005",$10.29,$414.68,"$1,298.14"
Enalapril Maleate ,Enalapril Maleate ,11,"$110,823,145.54","286,372,504","3,933,076","749,180",$0.39,$28.18,$147.93
Enalapril-Hydrochlorothiazide ,Enalapril/Hydrochlorothiazide ,6,"$3,683,887.24","14,911,763","232,966","49,298",$0.25,$15.81,$74.73
Enbrel ,Etanercept ,1,"$1,572,038,338.60","1,649,225","344,457","47,795",$972.08,"$4,563.82","$32,891.27"
Endocet ,Oxycodone HCl/Acetaminophen ,1,"$17,059,328.96","28,282,487","293,690","84,446",$0.57,$58.09,$202.01
Engerix-B Adult ,Hepatitis B Virus Vaccine/PF ,1,"$130,590.34","1,871","1,842","1,123",$69.80,$70.90,$116.29
Enjuvia ,"Estrogens,Conj.,Synthetic B ",1,"$327,581.42","133,615","2,583",799,$2.45,$126.82,$409.99
Enoxaparin Sodium ,Enoxaparin Sodium ,7,"$251,801,846.88","8,749,734","784,013","390,554",$28.49,$321.17,$644.73
Enpresse ,Levonorgestrel-Ethin Estradiol ,1,"$72,538.95","120,402","3,499",533,$0.60,$20.73,$136.10
Enskyce ,Desogestrel-Ethinyl Estradiol ,1,"$52,717.99","117,190","2,879",635,$0.45,$18.31,$83.02
Entacapone ,Entacapone ,6,"$47,097,019.45","19,189,343","167,255","24,241",$2.47,$281.59,"$1,942.87"
Entecavir ,Entecavir ,4,"$65,122,133.49","2,380,692","74,292","10,827",$27.35,$876.57,"$6,014.79"
Entocort EC ,Budesonide ,1,"$2,019,101.81","88,744","1,054",276,$22.75,"$1,915.66","$7,315.59"
Entresto ,Sacubitril/Valsartan ,1,"$64,398,445.69","9,852,301","132,219","35,148",$6.54,$487.06,"$1,832.21"
Entyvio ,Vedolizumab ,1,"$12,209,177.73","10,502","2,134",530,"$1,162.53","$5,721.26","$23,036.18"
Enulose ,Lactulose ,1,"$708,690.21","37,772,331","43,800","17,982",$0.02,$16.18,$39.41
Epaned ,Enalapril Maleate ,1,"$200,173.03","104,385",296,71,$1.92,$676.26,"$2,819.34"
Epiduo ,Adapalene/Benzoyl Peroxide ,1,"$761,501.00","99,150","2,117","1,076",$7.68,$359.71,$707.71
Epifoam ,Hydrocortisone/Pramoxine ,1,"$16,018.96","2,010",182,103,$7.97,$88.02,$155.52
Epinastine HCl ,Epinastine HCl ,3,"$2,723,240.65","269,066","44,479","17,648",$10.12,$61.23,$154.31
Epinephrine ,Epinephrine ,3,"$8,459,444.43","52,615","24,425","21,871",$168.67,$346.34,$386.79
Epipen 2-Pak ,Epinephrine ,1,"$164,036,734.46","564,331","273,828","234,146",$290.67,$599.05,$700.57
Epipen Jr 2-Pak ,Epinephrine ,1,"$1,488,386.09","5,137","2,466","2,122",$289.74,$603.56,$701.41
Epitol ,Carbamazepine ,1,"$5,554,114.72","10,059,590","78,636","19,611",$0.55,$70.63,$283.21
Epivir ,Lamivudine ,1,"$786,159.43","782,184","4,388",990,$2.90,$179.16,$794.10
Epivir Hbv ,Lamivudine ,1,"$473,978.42","217,161","1,447",314,$7.06,$327.56,"$1,509.49"
Eplerenone ,Eplerenone ,4,"$23,034,346.70","11,227,537","179,012","36,762",$2.05,$128.67,$626.58
Epogen ,Epoetin Alfa ,1,"$7,297,459.52","40,722","11,539","3,203",$193.82,$632.42,"$2,278.32"
Eprosartan Mesylate ,Eprosartan Mesylate ,1,"$192,527.86","88,679","1,322",325,$2.17,$145.63,$592.39
Epzicom ,Abacavir Sulfate/Lamivudine ,1,"$157,504,661.68","3,675,657","120,153","15,713",$42.85,"$1,310.87","$10,023.84"
Equetro ,Carbamazepine ,1,"$2,009,284.97","590,747","6,901","1,042",$3.40,$291.16,"$1,928.30"
Eraxis (Water Diluent) ,Anidulafungin ,1,"$292,101.14","11,449",349,107,$25.51,$836.97,"$2,729.92"
Erbitux ,Cetuximab ,1,"$4,717,746.10","423,900",658,150,$11.13,"$7,169.83","$31,451.64"
Ergoloid Mesylates ,Ergoloid Mesylates ,1,"$724,906.13","134,086",957,215,$5.41,$757.48,"$3,371.66"
Erivedge ,Vismodegib ,1,"$84,701,344.86","232,678","7,911","1,792",$364.03,"$10,706.78","$47,266.38"
Errin ,Norethindrone ,1,"$89,932.65","187,586","5,020","1,311",$0.48,$17.91,$68.60
Ertaczo ,Sertaconazole Nitrate ,1,"$637,481.37","50,727",734,433,$12.57,$868.50,"$1,472.24"
Ery ,Erythromycin Base/Ethanol ,1,"$161,065.26","152,111","2,218",883,$1.06,$72.62,$182.41
Ery-Tab ,Erythromycin Base ,1,"$5,996,959.68","940,558","18,425","9,723",$6.74,$325.48,$616.78
Erygel ,Erythromycin Base/Ethanol ,1,"$33,235.17","7,377",152,96,$4.51,$218.65,$346.20
Eryped 200 ,Erythromycin Ethylsuccinate ,1,"$3,555,358.09","935,288","4,121",972,$3.80,$862.74,"$3,657.78"
Eryped 400 ,Erythromycin Ethylsuccinate ,1,"$2,732,800.86","406,230","2,161",404,$6.73,"$1,264.60","$6,764.36"
Erythrocin Lactobionate ,Erythromycin Lactobionate ,1,"$118,625.61","98,951",98,16,$1.20,"$1,210.47","$7,414.10"
Erythrocin Stearate ,Erythromycin Stearate ,1,"$3,964,553.98","475,814","8,508","4,001",$8.33,$465.98,$990.89
Erythromycin ,Erythromycin Base ,4,"$32,477,860.30","5,712,030","892,716","585,014",$3.71,$36.38,$55.52
Erythromycin ,Erythromycin Base/Ethanol ,5,"$2,614,111.13","1,966,087","33,105","19,274",$1.46,$78.96,$135.63
Erythromycin Ethylsuccinate ,Erythromycin Ethylsuccinate ,1,"$1,387,647.49","182,327","4,798","2,855",$7.61,$289.21,$486.04
Erythromycin-Benzoyl Peroxide ,Erythromycin/Benzoyl Peroxide ,3,"$4,373,039.64","888,701","20,461","8,128",$4.91,$213.73,$538.02
Esbriet ,Pirfenidone ,1,"$59,119,732.34","1,989,249","7,616","4,533",$29.72,"$7,762.57","$13,042.08"
Escitalopram Oxalate ,Escitalopram Oxalate ,23,"$121,982,571.56","346,478,168","8,188,281","1,512,447",$0.35,$14.90,$80.65
Esgic ,Butalb/Acetaminophen/Caffeine ,1,"$254,598.40","66,686",766,251,$3.78,$332.37,"$1,014.34"
Esomeprazole Magnesium ,Esomeprazole Magnesium ,5,"$434,537,602.04","109,996,100","2,147,090","615,379",$3.94,$202.38,$706.13
Esomeprazole Strontium ,Esomeprazole Strontium ,1,"$7,804.25","2,110",54,34,$3.70,$144.52,$229.54
Estarylla ,Norgestimate-Ethinyl Estradiol ,1,"$53,696.15","108,220","2,841",748,$0.50,$18.90,$71.79
Estazolam ,Estazolam ,2,"$1,716,092.69","2,541,491","79,636","15,394",$0.68,$21.55,$111.48
Estrace ,Estradiol ,1,"$144,761,452.45","23,382,323","527,385","292,339",$6.19,$274.49,$495.18
Estradiol ,Estradiol ,5,"$53,090,579.05","89,260,204","1,949,516","438,817",$2.33,$27.23,$120.99
Estradiol Valerate ,Estradiol Valerate ,1,"$715,851.12","27,138","4,805","2,185",$26.28,$148.98,$327.62
Estradiol-Norethindrone Acetat ,Estradiol/Norethindrone Acet ,1,"$4,935,464.72","1,763,177","36,774","8,936",$2.80,$134.21,$552.31
Estring ,Estradiol ,1,"$26,454,690.61","81,080","80,894","30,617",$326.28,$327.03,$864.05
Estropipate ,Estropipate ,1,"$1,095,837.78","2,214,931","40,640","11,351",$0.50,$26.96,$96.54
Eszopiclone ,Eszopiclone ,10,"$19,338,606.49","16,962,035","471,593","106,328",$1.14,$41.01,$181.88
Ethambutol HCl ,Ethambutol HCl ,4,"$3,989,953.30","4,155,079","58,422","12,465",$0.96,$68.30,$320.09
Ethosuximide ,Ethosuximide ,4,"$1,818,864.75","1,959,588","12,142","1,679",$1.14,$149.80,"$1,083.30"
Etidronate Disodium ,Etidronate Disodium ,1,"$174,212.38","41,251",885,287,$4.62,$196.85,$607.01
Etodolac ,Etodolac ,5,"$25,377,481.91","32,311,321","445,329","161,556",$0.78,$56.99,$157.08
Etodolac ER ,Etodolac ,3,"$6,157,317.65","3,274,567","57,859","20,609",$1.90,$106.42,$298.77
Etoposide ,Etoposide ,1,"$11,500.20","10,475",268,90,$1.10,$42.91,$127.78
Eurax ,Crotamiton ,1,"$3,714,908.65","618,826","5,034","2,750",$6.43,$737.96,"$1,350.88"
Evamist ,Estradiol ,2,"$541,869.45","40,939","3,560","1,169",$13.23,$152.21,$463.53
Evekeo ,Amphetamine Sulfate ,1,"$200,351.87","36,759",488,167,$5.45,$410.56,"$1,199.71"
Evista ,Raloxifene HCl ,1,"$5,068,530.99","795,390","15,852","4,840",$6.37,$319.74,"$1,047.22"
Evotaz ,Atazanavir Sulfate/Cobicistat ,1,"$24,244,507.21","476,691","15,559","2,214",$50.86,"$1,558.23","$10,950.55"
Evoxac ,Cevimeline HCl ,1,"$1,634,776.71","284,495","2,336",504,$5.75,$699.82,"$3,243.60"
Evzio ,Naloxone HCl ,1,"$40,139,088.35","8,947","9,093","8,528","$4,486.12","$4,414.28","$4,706.74"
Exalgo ,Hydromorphone HCl ,1,"$7,158,243.31","250,366","5,225","1,093",$27.69,"$1,370.00","$6,549.17"
Exelderm ,Sulconazole Nitrate ,2,"$369,549.62","39,780",977,686,$9.51,$378.25,$538.70
Exelon ,Rivastigmine ,1,"$218,292,421.68","12,392,547","382,823","67,632",$17.61,$570.22,"$3,227.65"
Exelon ,Rivastigmine Tartrate ,1,"$384,833.84","68,447",954,218,$5.62,$403.39,"$1,765.29"
Exemestane ,Exemestane ,3,"$74,648,538.00","9,958,490","216,543","43,737",$7.51,$344.73,"$1,706.76"
Exforge ,Amlodipine/Valsartan ,1,"$7,755,806.70","948,732","20,981","5,036",$8.21,$369.66,"$1,540.07"
Exforge HCT ,Amlodipine/Valsartan/HCThiazid ,1,"$2,010,416.65","242,009","5,632","1,517",$8.36,$356.96,"$1,325.26"
Exjade ,Deferasirox ,1,"$86,412,771.18","788,160","10,123","1,919",$110.75,"$8,536.28","$45,030.10"
Extavia ,Interferon Beta-1b ,1,"$23,722,793.30","71,254","4,873",672,$332.93,"$4,868.21","$35,301.78"
Eylea ,Aflibercept ,1,"$9,503,790.88",252,"3,905",998,"$37,668.61","$2,433.75","$9,522.84"
Fabrazyme ,Agalsidase Beta ,1,"$14,757,529.52","5,192",913,57,"$3,740.37","$16,163.78","$258,904.03"
Falmina ,Levonorgestrel-Ethin Estradiol ,1,"$101,868.46","192,558","5,105","1,125",$0.53,$19.95,$90.55
Famciclovir ,Famciclovir ,8,"$7,947,878.31","5,789,615","155,634","84,904",$1.47,$51.07,$93.61
Famotidine ,Famotidine ,17,"$48,264,746.31","274,253,925","4,522,607","1,132,378",$0.17,$10.67,$42.62
Famotidine ,"Famotidine In NaCl,Iso-Osm/PF ",1,"$4,556.37","47,303",136,75,$0.10,$33.50,$60.75
Famotidine ,Famotidine/PF ,2,"$18,536.52","36,330","2,736",789,$0.50,$6.78,$23.49
Famvir ,Famciclovir ,1,"$457,124.38","23,855",332,98,$19.50,"$1,376.88","$4,664.53"
Fanapt ,Iloperidone ,2,"$53,364,121.50","2,316,940","48,435","5,837",$22.77,"$1,101.77","$9,142.39"
Fareston ,Toremifene Citrate ,1,"$2,408,336.67","61,434","1,723",322,$39.20,"$1,397.76","$7,479.31"
Farxiga ,Dapagliflozin Propanediol ,1,"$101,650,966.06","8,024,873","193,947","45,632",$12.67,$524.12,"$2,227.62"
Farydak ,Panobinostat Lactate ,1,"$7,820,274.87","6,357","1,033",286,"$1,230.18","$7,570.45","$27,343.62"
